"ID","Observed","Shannon","Project_ID","Animal_ID","Sample_Date","Birthdate","Age_wk","Trt","Diet","SampleBinary","is.neg"
"AMC45",764,4.12877973286382,"AMC45","371",2019-11-27,2019-09-25,"9","3","MR","Sample",FALSE
"AMC46",140,3.56753651250717,"AMC46","373",2019-11-27,2019-09-25,"9","1","MR+A","Sample",FALSE
"AMC47",756,4.10997026168744,"AMC47","384",2019-11-28,2019-09-26,"9","3","MR","Sample",FALSE
"AMC48",133,3.71599963235588,"AMC48","387",2019-11-29,2019-09-27,"9","1","MR+A","Sample",FALSE
"AMC49",129,3.82311285299363,"AMC49","396",2019-11-29,2019-09-27,"9","1","MR+A","Sample",FALSE
"AMC4",764,4.35765233173076,"AMC4","369",2019-10-02,2019-09-25,"1","1","MR+A","Sample",FALSE
"AMC50",144,3.71055637363883,"AMC50","399",2019-11-29,2019-09-28,"9","3","MR","Sample",FALSE
"AMC51",141,3.38092769072833,"AMC51","361",2019-12-10,2019-09-24,"11","3","MR","Sample",FALSE
"AMC52",762,4.06513175308562,"AMC52","363",2019-12-12,2019-09-24,"11","1","MR+A","Sample",FALSE
"AMC53",757,4.29574373408195,"AMC53","365",2019-12-10,2019-09-24,"11","3","MR","Sample",FALSE
"AMC54",775,4.19918939307696,"AMC54","369",2019-12-11,2019-09-25,"11","1","MR+A","Sample",FALSE
"AMC55",753,4.02946777976216,"AMC55","371",2019-12-11,2019-09-25,"11","3","MR","Sample",FALSE
"AMC57",748,4.01974594340413,"AMC57","384",2019-12-12,2019-09-26,"11","3","MR","Sample",FALSE
"AMC58",122,2.70947179439342,"AMC58","387",2019-12-13,2019-09-27,"11","1","MR+A","Sample",FALSE
"AMC59",717,4.06922891731798,"AMC59","396",2019-12-13,2019-09-27,"11","1","MR+A","Sample",FALSE
"AMC5",131,2.18003090902328,"AMC5","371",2019-10-02,2019-09-25,"1","3","MR","Sample",FALSE
"AMC60",767,4.38321431338716,"AMC60","399",2019-12-13,2019-09-28,"11","3","MR","Sample",FALSE
"AMC65",123,3.53287146525841,"AMC65","371",2019-12-26,2019-09-25,"13","3","MR","Sample",FALSE
"AMC66",726,4.11237400692573,"AMC66","373",2019-12-26,2019-09-25,"13","1","MR+A","Sample",FALSE
"AMC67",448,3.41083928511621,"AMC67","387",2019-12-27,2019-09-27,"13","1","MR+A","Sample",FALSE
"AMC68",367,3.4405566481496,"AMC68","384",2019-12-26,2019-09-26,"13","3","MR","Sample",FALSE
"AMC69",762,4.07331972232947,"AMC69","396",2019-12-27,2019-09-27,"13","1","MR+A","Sample",FALSE
"AMC6",767,4.18665015294231,"AMC6","384",2019-10-03,2019-09-26,"1","3","MR","Sample",FALSE
"AMC91",768,4.18994054598977,"AMC91","378",2019-10-03,2019-09-26,"1","1","MR+A","Sample",FALSE
"AMC93",770,4.17489428174701,"AMC93","378",2019-10-31,2019-09-26,"5","1","MR+A","Sample",FALSE
"AMC94",770,4.12897797767263,"AMC94","378",2019-11-14,2019-09-26,"7","1","MR+A","Sample",FALSE
"AMC95",769,4.13484383977141,"AMC95","378",2019-11-28,2019-09-26,"9","1","MR+A","Sample",FALSE
"AMC96",770,4.19474098564797,"AMC96","378",2019-12-12,2019-09-26,"11","1","MR+A","Sample",FALSE
"AMC97",771,4.22519204346115,"AMC97","378",2019-12-26,2019-09-26,"13","1","MR+A","Sample",FALSE
"AMC9",759,4.26179091498139,"AMC9","399",2019-10-04,2019-09-28,"1","3","MR","Sample",FALSE
